country,Year,Education,Jobs,Population
Armenia,2007,11.3,0.563,103
Armenia,2008,11.4,0.564,102
Armenia,2009,11.4,0.571,101
Australia,1990,11.7,0.637,2.34
Australia,1991,11.4,0.633,2.24
Australia,1992,11.5,0.63,2.27
Australia,1993,11.6,0.626,2.29
Australia,1994,11.7,0.631,2.32
Australia,1995,11.7,0.637,2.34
Australia,1997,11.9,0.633,2.39
Australia,1998,12,0.632,2.42
Australia,1999,12,0.63,2.45
Australia,2000,12.1,0.634,2.47
Australia,2001,12.2,0.635,2.5
Australia,2002,12.2,0.636,2.53
Australia,2003,12.3,0.638,2.55
Australia,2004,12.4,0.636,2.59
Australia,2005,12.4,0.645,2.63
Australia,2006,12.5,0.649,2.67
Australia,2007,12.6,0.653,2.72
Australia,2008,12.6,0.656,2.78
Australia,2009,12.7,0.655,2.83
Austria,1990,10.3,0.591,97
Austria,1991,9.9,0.562,94.3
Austria,1992,10,0.569,95
Austria,1993,10.1,0.571,95.8
Austria,1994,10.2,0.585,96.4
Austria,1995,10.3,0.591,97
Austria,1997,10.4,0.582,97.5
Austria,1998,10.5,0.585,97.6
Austria,1999,10.6,0.586,97.7
Austria,2000,10.7,0.585,97.9
Austria,2001,10.8,0.58,98.3
Austria,2002,10.9,0.588,98.7
Austria,2003,10.9,0.588,99.2
Austria,2004,11,0.568,99.7
Austria,2005,11.1,0.581,100
Austria,2006,11.2,0.585,101
Austria,2007,11.3,0.594,101
Austria,2008,11.3,0.597,101
Austria,2009,11.4,0.6,102
Azerbaijan,1990,10.3,0.637,94.1
Azerbaijan,1991,9.7,0.609,89
Azerbaijan,1992,9.9,0.617,90.4
Azerbaijan,1993,10,0.626,91.7
Azerbaijan,1994,10.2,0.633,93
Azerbaijan,1995,10.3,0.637,94.1
Azerbaijan,1997,10.6,0.636,95.9
Azerbaijan,1998,10.7,0.634,96.7
Azerbaijan,1999,10.9,0.632,97.4
Azerbaijan,2000,11,0.633,98.3
Azerbaijan,2001,11.1,0.633,99.2
Azerbaijan,2002,11.2,0.633,100
Azerbaijan,2003,11.3,0.633,101
Azerbaijan,2004,11.4,0.634,102
Azerbaijan,2005,11.5,0.634,103
Azerbaijan,2006,11.6,0.636,104
Azerbaijan,2007,11.7,0.637,106
Azerbaijan,2008,11.8,0.638,107
Azerbaijan,2009,11.9,0.639,108
Bahamas,1990,10.4,0.752,28
Bahamas,1991,9.9,0.728,26.1
Bahamas,1992,10,0.736,26.6
Bahamas,1993,10.1,0.744,27.1
Bahamas,1994,10.3,0.75,27.6
Bahamas,1995,10.4,0.752,28
Bahamas,1997,10.6,0.752,28.7
Bahamas,1998,10.7,0.752,29
Bahamas,1999,10.9,0.751,29.4
Bahamas,2000,11,0.751,29.8
Bahamas,2001,11.1,0.752,30.2
Bahamas,2002,11.2,0.754,30.7
Bahamas,2003,11.3,0.755,31.3
Bahamas,2004,11.4,0.755,31.9
Bahamas,2005,11.5,0.755,32.5
Bahamas,2006,11.6,0.756,33.1
Bahamas,2007,11.8,0.757,33.7
Bahamas,2008,11.9,0.757,34.3
Bahamas,2009,12,0.757,34.9
Bahrain,1990,8.3,0.655,742
Bahrain,1991,7.4,0.645,671
Bahrain,1992,7.6,0.646,688
Bahrain,1993,7.8,0.648,706
Bahrain,1994,8.1,0.652,723
Bahrain,1995,8.3,0.655,742
Bahrain,1997,8.7,0.651,783
Bahrain,1998,8.9,0.651,807
Bahrain,1999,9.1,0.653,838
Bahrain,2000,9.3,0.658,874
Bahrain,2001,9.5,0.659,918
Bahrain,2002,9.7,0.661,967
Bahrain,2003,9.9,0.668,1020
Bahrain,2004,10.1,0.676,1090
Bahrain,2005,10.3,0.686,1170
Bahrain,2006,10.4,0.69,1260
Bahrain,2007,10.6,0.697,1360
Bahrain,2008,10.8,0.706,1470
Bahrain,2009,10.9,0.714,1560
Bangladesh,1990,2.9,0.567,885
Bangladesh,1991,2.4,0.564,811
Bangladesh,1992,2.5,0.565,830
Bangladesh,1993,2.7,0.565,848
Bangladesh,1994,2.8,0.566,866
Bangladesh,1995,2.9,0.567,885
Bangladesh,1997,3.1,0.57,923
Bangladesh,1998,3.2,0.572,942
Bangladesh,1999,3.4,0.573,962
Bangladesh,2000,3.5,0.575,981
Bangladesh,2001,3.6,0.575,999
Bangladesh,2002,3.7,0.576,1020
Bangladesh,2003,3.9,0.576,1040
Bangladesh,2004,4,0.576,1050
Bangladesh,2005,4.1,0.576,1070
Bangladesh,2006,4.3,0.575,1080
Bangladesh,2007,4.4,0.574,1100
Bangladesh,2008,4.6,0.572,1110
Bangladesh,2009,4.7,0.571,1120
Belarus,1990,11.5,0.591,49.7
Belarus,1991,11.1,0.595,50.1
Belarus,1992,11.2,0.593,50
Belarus,1993,11.3,0.592,49.9
Belarus,1994,11.4,0.591,49.8
Belarus,1995,11.5,0.591,49.7
Belarus,1997,11.6,0.588,49.3
Belarus,1998,11.7,0.588,49.1
Belarus,1999,11.8,0.588,48.9
Belarus,2000,11.9,0.591,48.7
Belarus,2001,11.9,0.594,48.4
Belarus,2002,12,0.597,48
Belarus,2003,12.1,0.6,47.7
Belarus,2004,12.1,0.604,47.4
Belarus,2005,12.2,0.608,47.1
Belarus,2006,12.3,0.612,46.9
Belarus,2007,12.3,0.616,46.7
Belarus,2008,12.4,0.621,46.6
Belarus,2009,12.4,0.626,46.5
Belgium,1990,11.3,0.504,336
Belgium,1991,10.9,0.491,332
Belgium,1992,11,0.494,333
Belgium,1993,11.1,0.495,334
Belgium,1994,11.2,0.501,335
Belgium,1995,11.3,0.504,336
Belgium,1997,11.5,0.504,338
Belgium,1998,11.6,0.507,338
Belgium,1999,11.7,0.518,339
Belgium,2000,11.8,0.522,340
Belgium,2001,11.9,0.507,341
Belgium,2002,12,0.509,342
Belgium,2003,12.1,0.511,344
Belgium,2004,12.2,0.518,346
Belgium,2005,12.2,0.532,348
Belgium,2006,12.3,0.53,351
Belgium,2007,12.4,0.536,353
Belgium,2008,12.5,0.536,356
Belgium,2009,12.5,0.534,359
Belize,1990,7.9,0.587,9.07
Belize,1991,7.4,0.585,8.38
Belize,1992,7.5,0.586,8.52
Belize,1993,7.6,0.586,8.66
Belize,1994,7.8,0.586,8.84
Belize,1995,7.9,0.587,9.07
Belize,1997,8.1,0.595,9.71
Belize,1998,8.2,0.599,10.1
Belize,1999,8.3,0.605,10.5
Belize,2000,8.5,0.61,10.8
Belize,2001,8.6,0.616,11.2
Belize,2002,8.7,0.622,11.5
Belize,2003,8.8,0.628,11.8
Belize,2004,8.9,0.634,12.1
Belize,2005,9,0.639,12.4
Belize,2006,9.1,0.646,12.8
Belize,2007,9.2,0.653,13.1
Belize,2008,9.3,0.66,13.5
Belize,2009,9.4,0.666,13.8
Benin,1990,1.6,0.727,52.4
Benin,1991,1.3,0.725,45.7
Benin,1992,1.4,0.725,47.3
Benin,1993,1.4,0.726,49
Benin,1994,1.5,0.726,50.7
Benin,1995,1.6,0.727,52.4
Benin,1997,1.7,0.726,55.7
Benin,1998,1.8,0.725,57.4
Benin,1999,1.9,0.724,59.1
Benin,2000,2,0.722,60.9
Benin,2001,2.1,0.72,62.8
Benin,2002,2.1,0.718,64.7
Benin,2003,2.2,0.719,66.7
Benin,2004,2.3,0.719,68.7
Benin,2005,2.4,0.719,70.8
Benin,2006,2.5,0.718,72.9
Benin,2007,2.6,0.716,75
Benin,2008,2.7,0.714,77.1
Benin,2009,2.8,0.713,79.3
Bolivia,1990,6.8,0.695,7.04
Bolivia,1991,6.1,0.687,6.47
Bolivia,1992,6.3,0.687,6.61
Bolivia,1993,6.4,0.69,6.75
Bolivia,1994,6.6,0.692,6.89
Bolivia,1995,6.8,0.695,7.04
Bolivia,1997,7.1,0.702,7.33
Bolivia,1998,7.3,0.703,7.47
Bolivia,1999,7.5,0.703,7.62
Bolivia,2000,7.6,0.704,7.77
Bolivia,2001,7.8,0.708,7.92
Bolivia,2002,7.9,0.712,8.07
Bolivia,2003,8.1,0.717,8.22
Bolivia,2004,8.3,0.721,8.37
Bolivia,2005,8.4,0.725,8.52
Bolivia,2006,8.6,0.729,8.67
Bolivia,2007,8.7,0.717,8.82
Bolivia,2008,8.9,0.721,8.97
Bolivia,2009,9,0.721,9.12
Bosnia and Herzegovina,1990,7.4,0.504,75.1
Bosnia and Herzegovina,1991,6.7,0.518,85.7
Bosnia and Herzegovina,1992,6.9,0.515,83
Bosnia and Herzegovina,1993,7.1,0.511,80
Bosnia and Herzegovina,1994,7.2,0.508,77.2
Bosnia and Herzegovina,1995,7.4,0.504,75.1
Bosnia and Herzegovina,1997,7.8,0.5,73.3
Bosnia and Herzegovina,1998,7.9,0.498,73.2
Bosnia and Herzegovina,1999,8.1,0.496,73.4
Bosnia and Herzegovina,2000,8.3,0.495,73.6
Bosnia and Herzegovina,2001,8.4,0.493,73.6
Bosnia and Herzegovina,2002,8.6,0.491,73.7
Bosnia and Herzegovina,2003,8.8,0.489,73.8
Bosnia and Herzegovina,2004,8.9,0.488,73.8
Bosnia and Herzegovina,2005,9.1,0.489,73.8
Bosnia and Herzegovina,2006,9.2,0.487,73.8
Bosnia and Herzegovina,2007,9.4,0.486,73.8
Bosnia and Herzegovina,2008,9.5,0.485,73.6
Bosnia and Herzegovina,2009,9.7,0.484,73.3
Botswana,1990,5.8,0.616,2.59
Botswana,1991,5.1,0.623,2.34
Botswana,1992,5.3,0.621,2.41
Botswana,1993,5.4,0.62,2.47
Botswana,1994,5.6,0.618,2.53
Botswana,1995,5.8,0.616,2.59
Botswana,1997,6.1,0.611,2.72
Botswana,1998,6.3,0.608,2.78
Botswana,1999,6.5,0.599,2.84
Botswana,2000,6.6,0.59,2.9
Botswana,2001,6.8,0.597,2.95
Botswana,2002,7,0.604,3.01
Botswana,2003,7.1,0.612,3.06
Botswana,2004,7.3,0.62,3.12
Botswana,2005,7.5,0.628,3.17
Botswana,2006,7.6,0.635,3.24
Botswana,2007,7.8,0.634,3.31
Botswana,2008,8,0.633,3.38
Botswana,2009,8.1,0.632,3.45
Brazil,1990,6.7,0.636,19.4
Brazil,1991,6,0.625,18.1
Brazil,1992,6.2,0.628,18.5
Brazil,1993,6.4,0.631,18.8
Brazil,1994,6.5,0.633,19.1
Brazil,1995,6.7,0.636,19.4
Brazil,1997,7,0.642,20
Brazil,1998,7.2,0.644,20.3
Brazil,1999,7.4,0.647,20.6
Brazil,2000,7.5,0.65,20.9
Brazil,2001,7.7,0.653,21.2
Brazil,2002,7.9,0.661,21.5
Brazil,2003,8,0.661,21.8
Brazil,2004,8.2,0.668,22
Brazil,2005,8.3,0.67,22.3
Brazil,2006,8.5,0.672,22.5
Brazil,2007,8.6,0.668,22.7
Brazil,2008,8.8,0.669,23
Brazil,2009,9,0.67,23.2
Bulgaria,1990,11.3,0.549,77.2
Bulgaria,1991,10.8,0.579,80.8
Bulgaria,1992,11,0.578,79.9
Bulgaria,1993,11.1,0.568,79
Bulgaria,1994,11.2,0.559,78.1
Bulgaria,1995,11.3,0.549,77.2
Bulgaria,1997,11.4,0.53,75.6
Bulgaria,1998,11.5,0.52,75
Bulgaria,1999,11.6,0.51,74.3
Bulgaria,2000,11.7,0.499,73.7
Bulgaria,2001,11.8,0.516,73.1
Bulgaria,2002,11.9,0.512,72.5
Bulgaria,2003,12,0.503,71.9
Bulgaria,2004,12.1,0.511,71.3
Bulgaria,2005,12.1,0.504,70.8
Bulgaria,2006,12.2,0.523,70.3
Bulgaria,2007,12.3,0.538,69.8
Bulgaria,2008,12.4,0.551,69.3
Bulgaria,2009,12.4,0.543,68.8
Burkina Faso,1990,0.9,0.809,36.9
Burkina Faso,1991,0.7,0.831,33.1
Burkina Faso,1992,0.8,0.826,34
Burkina Faso,1993,0.8,0.821,34.9
Burkina Faso,1994,0.9,0.815,35.9
Burkina Faso,1995,0.9,0.809,36.9
Burkina Faso,1997,1,0.797,39
Burkina Faso,1998,1,0.79,40.1
Burkina Faso,1999,1.1,0.784,41.2
Burkina Faso,2000,1.1,0.777,42.4
Burkina Faso,2001,1.2,0.77,43.7
Burkina Faso,2002,1.2,0.763,44.9
Burkina Faso,2003,1.3,0.756,46.3
Burkina Faso,2004,1.3,0.749,47.6
Burkina Faso,2005,1.4,0.742,49.1
Burkina Faso,2006,1.4,0.734,50.5
Burkina Faso,2007,1.5,0.727,52.1
Burkina Faso,2008,1.5,0.72,53.7
Burkina Faso,2009,1.6,0.712,55.3
Burundi,1990,2.1,0.875,233
Burundi,1991,1.8,0.902,217
Burundi,1992,1.9,0.896,221
Burundi,1993,1.9,0.89,226
Burundi,1994,2,0.883,230
Burundi,1995,2.1,0.875,233
Burundi,1997,2.2,0.86,238
Burundi,1998,2.3,0.851,241
Burundi,1999,2.4,0.844,244
Burundi,2000,2.4,0.837,248
Burundi,2001,2.5,0.831,254
Burundi,2002,2.6,0.825,261
Burundi,2003,2.7,0.82,269
Burundi,2004,2.7,0.816,278
Burundi,2005,2.8,0.811,287
Burundi,2006,2.9,0.807,296
Burundi,2007,3,0.803,306
Burundi,2008,3.1,0.8,316
Burundi,2009,3.1,0.796,327
Cambodia,1990,3.2,0.807,60.4
Cambodia,1991,2.7,0.802,52.6
Cambodia,1992,2.8,0.804,54.5
Cambodia,1993,2.9,0.807,56.5
Cambodia,1994,3,0.808,58.5
Cambodia,1995,3.2,0.807,60.4
Cambodia,1997,3.4,0.804,64
Cambodia,1998,3.5,0.802,65.7
Cambodia,1999,3.6,0.8,67.3
Cambodia,2000,3.7,0.786,68.9
Cambodia,2001,3.8,0.833,70.3
Cambodia,2002,3.9,0.827,71.6
Cambodia,2003,4,0.818,72.8
Cambodia,2004,4.2,0.806,74
Cambodia,2005,4.3,0.815,75.2
Cambodia,2006,4.4,0.824,76.4
Cambodia,2007,4.5,0.833,77.5
Cambodia,2008,4.6,0.842,78.7
Cambodia,2009,4.7,0.848,79.8
Cameroon,1990,4.5,0.774,28.8
Cameroon,1991,4,0.777,25.7
Cameroon,1992,4.1,0.777,26.4
Cameroon,1993,4.3,0.777,27.2
Cameroon,1994,4.4,0.776,28
Cameroon,1995,4.5,0.774,28.8
Cameroon,1997,4.8,0.771,30.3
Cameroon,1998,5,0.769,31.1
Cameroon,1999,5.1,0.767,32
Cameroon,2000,5.3,0.765,32.8
Cameroon,2001,5.4,0.763,33.7
Cameroon,2002,5.6,0.762,34.6
Cameroon,2003,5.7,0.761,35.5
Cameroon,2004,5.8,0.759,36.5
Cameroon,2005,6,0.759,37.5
Cameroon,2006,6.1,0.759,38.6
Cameroon,2007,6.2,0.759,39.6
Cameroon,2008,6.4,0.759,40.7
Cameroon,2009,6.5,0.759,41.9
Canada,1990,13.6,0.644,3.21
Canada,1991,13.2,0.663,3.07
Canada,1992,13.3,0.653,3.1
Canada,1993,13.4,0.65,3.14
Canada,1994,13.5,0.648,3.17
Canada,1995,13.6,0.644,3.21
Canada,1997,13.8,0.644,3.27
Canada,1998,13.9,0.647,3.3
Canada,1999,14,0.651,3.33
Canada,2000,14.1,0.653,3.36
Canada,2001,14.1,0.654,3.4
Canada,2002,14.2,0.663,3.43
Canada,2003,14.3,0.671,3.46
Canada,2004,14.4,0.67,3.5
Canada,2005,14.4,0.667,3.54
Canada,2006,14.5,0.666,3.58
Canada,2007,14.5,0.67,3.62
Canada,2008,14.6,0.672,3.67
Canada,2009,14.7,0.668,3.71
Cape Verde,1990,4,0.622,95.9
Cape Verde,1991,3.4,0.618,85.9
Cape Verde,1992,3.6,0.62,88.3
Cape Verde,1993,3.7,0.621,90.8
Cape Verde,1994,3.9,0.622,93.4
Cape Verde,1995,4,0.622,95.9
Cape Verde,1997,4.3,0.619,100
Cape Verde,1998,4.5,0.617,102
Cape Verde,1999,4.6,0.614,104
Cape Verde,2000,4.8,0.611,106
Cape Verde,2001,4.9,0.608,108
Cape Verde,2002,5.1,0.605,110
Cape Verde,2003,5.3,0.601,112
Cape Verde,2004,5.4,0.597,113
Cape Verde,2005,5.6,0.593,115
Cape Verde,2006,5.7,0.592,116
Cape Verde,2007,5.9,0.591,118
Cape Verde,2008,6,0.591,119
Cape Verde,2009,6.2,0.592,121
Central African Republic,1990,2.3,0.718,5.17
Central African Republic,1991,1.9,0.722,4.62
Central African Republic,1992,2,0.722,4.75
Central African Republic,1993,2.1,0.721,4.89
Central African Republic,1994,2.2,0.72,5.03
Central African Republic,1995,2.3,0.718,5.17
Central African Republic,1997,2.5,0.717,5.45
Central African Republic,1998,2.6,0.716,5.58
Central African Republic,1999,2.7,0.715,5.71
Central African Republic,2000,2.7,0.714,5.84
Central African Republic,2001,2.8,0.714,5.97
Central African Republic,2002,2.9,0.714,6.1
Central African Republic,2003,3,0.714,6.23
Central African Republic,2004,3.1,0.713,6.36
Central African Republic,2005,3.2,0.713,6.48
Central African Republic,2006,3.3,0.714,6.61
Central African Republic,2007,3.4,0.714,6.74
Central African Republic,2008,3.5,0.715,6.86
Central African Republic,2009,3.6,0.715,6.96
Chad,1990,0.8,0.723,5.57
Chad,1991,0.6,0.723,4.89
Chad,1992,0.7,0.723,5.05
Chad,1993,0.7,0.723,5.21
Chad,1994,0.8,0.723,5.39
Chad,1995,0.8,0.723,5.57
Chad,1997,0.9,0.724,5.96
Chad,1998,0.9,0.725,6.17
Chad,1999,1,0.725,6.4
Chad,2000,1,0.725,6.64
Chad,2001,1.1,0.725,6.89
Chad,2002,1.1,0.725,7.16
Chad,2003,1.2,0.725,7.44
Chad,2004,1.2,0.724,7.73
Chad,2005,1.3,0.723,8.02
Chad,2006,1.3,0.723,8.3
Chad,2007,1.4,0.723,8.59
Chad,2008,1.5,0.722,8.88
Chad,2009,1.5,0.721,9.18
Chile,1990,10.2,0.552,19.3
Chile,1991,9.6,0.538,18.2
Chile,1992,9.8,0.55,18.5
Chile,1993,9.9,0.562,18.8
Chile,1994,10.1,0.562,19.1
Chile,1995,10.2,0.552,19.3
Chile,1997,10.5,0.553,19.9
Chile,1998,10.6,0.557,20.1
Chile,1999,10.7,0.557,20.4
Chile,2000,10.9,0.545,20.6
Chile,2001,11,0.545,20.9
Chile,2002,11.1,0.541,21.1
Chile,2003,11.2,0.544,21.3
Chile,2004,11.3,0.558,21.5
Chile,2005,11.4,0.553,21.8
Chile,2006,11.5,0.56,22
Chile,2007,11.7,0.575,22.2
Chile,2008,11.8,0.584,22.5
Chile,2009,11.9,0.58,22.7
China,1990,6.4,0.787,132
China,1991,5.8,0.79,127
China,1992,5.9,0.79,129
China,1993,6.1,0.789,130
China,1994,6.3,0.788,131
China,1995,6.4,0.787,132
China,1997,6.7,0.783,134
China,1998,6.9,0.78,135
China,1999,7.1,0.776,137
China,2000,7.2,0.772,137
China,2001,7.4,0.765,138
China,2002,7.5,0.757,139
China,2003,7.7,0.749,140
China,2004,7.8,0.741,141
China,2005,8,0.734,142
China,2006,8.1,0.728,143
China,2007,8.2,0.723,143
China,2008,8.4,0.719,144
China,2009,8.5,0.715,145
Colombia,1990,7.1,0.562,32.8
Colombia,1991,6.6,0.538,30.4
Colombia,1992,6.7,0.542,31
Colombia,1993,6.8,0.545,31.6
Colombia,1994,6.9,0.553,32.2
Colombia,1995,7.1,0.562,32.8
Colombia,1997,7.3,0.579,34
Colombia,1998,7.4,0.588,34.6
Colombia,1999,7.5,0.597,35.2
Colombia,2000,7.6,0.606,35.7
Colombia,2001,7.7,0.615,36.3
Colombia,2002,7.8,0.624,36.8
Colombia,2003,7.9,0.633,37.4
Colombia,2004,8,0.642,37.9
Colombia,2005,8,0.651,38.4
Colombia,2006,8.1,0.66,38.9
Colombia,2007,8.2,0.668,39.4
Colombia,2008,8.3,0.676,39.9
Colombia,2009,8.4,0.684,40.3
Comoros,1990,2.8,0.428,255
Comoros,1991,2.3,0.429,228
Comoros,1992,2.4,0.428,235
Comoros,1993,2.6,0.428,241
Comoros,1994,2.7,0.429,248
Comoros,1995,2.8,0.428,255
Comoros,1997,3.1,0.426,270
Comoros,1998,3.3,0.425,277
Comoros,1999,3.4,0.424,284
Comoros,2000,3.6,0.421,291
Comoros,2001,3.7,0.42,299
Comoros,2002,3.8,0.419,306
Comoros,2003,4,0.418,313
Comoros,2004,4.1,0.418,321
Comoros,2005,4.3,0.418,329
Comoros,2006,4.4,0.418,337
Comoros,2007,4.5,0.418,345
Comoros,2008,4.7,0.419,353
Comoros,2009,4.8,0.42,362
"Congo, Dem. Rep.",1990,3.9,0.721,18.3
"Congo, Dem. Rep.",1991,3.5,0.719,15.8
"Congo, Dem. Rep.",1992,3.6,0.72,16.5
"Congo, Dem. Rep.",1993,3.7,0.721,17.1
"Congo, Dem. Rep.",1994,3.8,0.722,17.8
"Congo, Dem. Rep.",1995,3.9,0.721,18.3
"Congo, Dem. Rep.",1997,4.1,0.723,19.3
"Congo, Dem. Rep.",1998,4.3,0.722,19.8
"Congo, Dem. Rep.",1999,4.4,0.722,20.3
"Congo, Dem. Rep.",2000,4.5,0.722,20.8
"Congo, Dem. Rep.",2001,4.6,0.723,21.4
"Congo, Dem. Rep.",2002,4.7,0.723,22
"Congo, Dem. Rep.",2003,4.8,0.723,22.7
"Congo, Dem. Rep.",2004,4.9,0.723,23.4
"Congo, Dem. Rep.",2005,5.1,0.723,24.2
"Congo, Dem. Rep.",2006,5.2,0.723,25
"Congo, Dem. Rep.",2007,5.3,0.724,25.8
"Congo, Dem. Rep.",2008,5.4,0.724,26.6
"Congo, Dem. Rep.",2009,5.5,0.724,27.5
"Congo, Rep.",1990,5.8,0.678,7.93
"Congo, Rep.",1991,5.1,0.683,7.09
"Congo, Rep.",1992,5.3,0.681,7.29
"Congo, Rep.",1993,5.4,0.68,7.5
"Congo, Rep.",1994,5.6,0.679,7.71
"Congo, Rep.",1995,5.8,0.678,7.93
"Congo, Rep.",1997,6.1,0.678,8.4
"Congo, Rep.",1998,6.2,0.678,8.64
"Congo, Rep.",1999,6.4,0.679,8.9
"Congo, Rep.",2000,6.5,0.679,9.16
"Congo, Rep.",2001,6.7,0.681,9.42
"Congo, Rep.",2002,6.8,0.682,9.69
"Congo, Rep.",2003,7,0.683,9.98
"Congo, Rep.",2004,7.1,0.685,10.3
"Congo, Rep.",2005,7.2,0.687,10.6
"Congo, Rep.",2006,7.4,0.688,11
"Congo, Rep.",2007,7.5,0.69,11.4
"Congo, Rep.",2008,7.6,0.692,11.7
"Congo, Rep.",2009,7.7,0.694,12.1
Costa Rica,1990,8.7,0.594,69.4
Costa Rica,1991,8.1,0.582,62.7
Costa Rica,1992,8.3,0.574,64.4
Costa Rica,1993,8.4,0.581,66
Costa Rica,1994,8.5,0.585,67.7
Costa Rica,1995,8.7,0.594,69.4
Costa Rica,1997,9,0.596,72.8
Costa Rica,1998,9.1,0.612,74.5
Costa Rica,1999,9.2,0.608,76.1
Costa Rica,2000,9.3,0.595,77.6
Costa Rica,2001,9.5,0.614,79
Costa Rica,2002,9.6,0.614,80.3
Costa Rica,2003,9.7,0.615,81.6
Costa Rica,2004,9.8,0.603,82.7
Costa Rica,2005,9.9,0.625,83.9
Costa Rica,2006,10.1,0.622,85.1
Costa Rica,2007,10.2,0.63,86.3
Costa Rica,2008,10.3,0.626,87.4
Costa Rica,2009,10.4,0.62,88.5
Cote d'Ivoire,1990,2.3,0.667,44.7
Cote d'Ivoire,1991,1.9,0.676,38.9
Cote d'Ivoire,1992,2,0.674,40.3
Cote d'Ivoire,1993,2.1,0.672,41.7
Cote d'Ivoire,1994,2.2,0.669,43.2
Cote d'Ivoire,1995,2.3,0.667,44.7
Cote d'Ivoire,1997,2.4,0.665,47.6
